date,total_vaccinations
20200127,726920.0
20200128,726920.0
20200129,726920.0
20200130,726920.0
20200131,726920.0
20200201,726920.0
20200202,726920.0
20200203,726920.0
20200204,726920.0
20200205,726920.0
20200206,726920.0
20200207,726920.0
20200208,726920.0
20200209,726920.0
20200210,726920.0
20200211,726920.0
20200212,726920.0
20200213,726920.0
20200214,726920.0
20200215,726920.0
20200216,726920.0
20200217,726920.0
20200218,726920.0
20200219,726920.0
20200220,726920.0
20200221,726920.0
20200222,726920.0
20200223,726920.0
20200224,726920.0
20200225,726920.0
20200226,726920.0
20200227,726920.0
20200228,726920.0
20200229,726920.0
20200301,726920.0
20200302,726920.0
20200303,726920.0
20200304,726920.0
20200305,726920.0
20200306,726920.0
20200307,726920.0
20200308,726920.0
20200309,726920.0
20200310,726920.0
20200311,726920.0
20200312,726920.0
20200313,726920.0
20200314,726920.0
20200315,726920.0
20200316,726920.0
20200317,726920.0
20200318,726920.0
20200319,726920.0
20200320,726920.0
20200321,726920.0
20200322,726920.0
20200323,726920.0
20200324,726920.0
20200325,726920.0
20200326,726920.0
20200327,726920.0
20200328,726920.0
20200329,726920.0
20200330,726920.0
20200331,726920.0
20200401,726920.0
20200402,726920.0
20200403,726920.0
20200404,726920.0
20200405,726920.0
20200406,726920.0
20200407,726920.0
20200408,726920.0
20200409,726920.0
20200410,726920.0
20200411,726920.0
20200412,726920.0
20200413,726920.0
20200414,726920.0
20200415,726920.0
20200416,726920.0
20200417,726920.0
20200418,726920.0
20200419,726920.0
20200420,726920.0
20200421,726920.0
20200422,726920.0
20200423,726920.0
20200424,726920.0
20200425,726920.0
20200426,726920.0
20200427,726920.0
20200428,726920.0
20200429,726920.0
20200430,726920.0
20200501,726920.0
20200502,726920.0
20200503,726920.0
20200504,726920.0
20200505,726920.0
20200506,726920.0
20200507,726920.0
20200508,726920.0
20200509,726920.0
20200510,726920.0
20200511,726920.0
20200512,726920.0
20200513,726920.0
20200514,726920.0
20200515,726920.0
20200516,726920.0
20200517,726920.0
20200518,726920.0
20200519,726920.0
20200520,726920.0
20200521,726920.0
20200522,726920.0
20200523,726920.0
20200524,726920.0
20200525,726920.0
20200526,726920.0
20200527,726920.0
20200528,726920.0
20200529,726920.0
20200530,726920.0
20200531,726920.0
20200601,726920.0
20200602,726920.0
20200603,726920.0
20200604,726920.0
20200605,726920.0
20200606,726920.0
20200607,726920.0
20200608,726920.0
20200609,726920.0
20200610,726920.0
20200611,726920.0
20200612,726920.0
20200613,726920.0
20200614,726920.0
20200615,726920.0
20200616,726920.0
20200617,726920.0
20200618,726920.0
20200619,726920.0
20200620,726920.0
20200621,726920.0
20200622,726920.0
20200623,726920.0
20200624,726920.0
20200625,726920.0
20200626,726920.0
20200627,726920.0
20200628,726920.0
20200629,726920.0
20200630,726920.0
20200701,726920.0
20200702,726920.0
20200703,726920.0
20200704,726920.0
20200705,726920.0
20200706,726920.0
20200707,726920.0
20200708,726920.0
20200709,726920.0
20200710,726920.0
20200711,726920.0
20200712,726920.0
20200713,726920.0
20200714,726920.0
20200715,726920.0
20200716,726920.0
20200717,726920.0
20200718,726920.0
20200719,726920.0
20200720,726920.0
20200721,726920.0
20200722,726920.0
20200723,726920.0
20200724,726920.0
20200725,726920.0
20200726,726920.0
20200727,726920.0
20200728,726920.0
20200729,726920.0
20200730,726920.0
20200731,726920.0
20200801,726920.0
20200802,726920.0
20200803,726920.0
20200804,726920.0
20200805,726920.0
20200806,726920.0
20200807,726920.0
20200808,726920.0
20200809,726920.0
20200810,726920.0
20200811,726920.0
20200812,726920.0
20200813,726920.0
20200814,726920.0
20200815,726920.0
20200816,726920.0
20200817,726920.0
20200818,726920.0
20200819,726920.0
20200820,726920.0
20200821,726920.0
20200822,726920.0
20200823,726920.0
20200824,726920.0
20200825,726920.0
20200826,726920.0
20200827,726920.0
20200828,726920.0
20200829,726920.0
20200830,726920.0
20200831,726920.0
20200901,726920.0
20200902,726920.0
20200903,726920.0
20200904,726920.0
20200905,726920.0
20200906,726920.0
20200907,726920.0
20200908,726920.0
20200909,726920.0
20200910,726920.0
20200911,726920.0
20200912,726920.0
20200913,726920.0
20200914,726920.0
20200915,726920.0
20200916,726920.0
20200917,726920.0
20200918,726920.0
20200919,726920.0
20200920,726920.0
20200921,726920.0
20200922,726920.0
20200923,726920.0
20200924,726920.0
20200925,726920.0
20200926,726920.0
20200927,726920.0
20200928,726920.0
20200929,726920.0
20200930,726920.0
20201001,726920.0
20201002,726920.0
20201003,726920.0
20201004,726920.0
20201005,726920.0
20201006,726920.0
20201007,726920.0
20201008,726920.0
20201009,726920.0
20201010,726920.0
20201011,726920.0
20201012,726920.0
20201013,726920.0
20201014,726920.0
20201015,726920.0
20201016,726920.0
20201017,726920.0
20201018,726920.0
20201019,726920.0
20201020,726920.0
20201021,726920.0
20201022,726920.0
20201023,726920.0
20201024,726920.0
20201025,726920.0
20201026,726920.0
20201027,726920.0
20201028,726920.0
20201029,726920.0
20201030,726920.0
20201031,726920.0
20201101,726920.0
20201102,726920.0
20201103,726920.0
20201104,726920.0
20201105,726920.0
20201106,726920.0
20201107,726920.0
20201108,726920.0
20201109,726920.0
20201110,726920.0
20201111,726920.0
20201112,726920.0
20201113,726920.0
20201114,726920.0
20201115,726920.0
20201116,726920.0
20201117,726920.0
20201118,726920.0
20201119,726920.0
20201120,726920.0
20201121,726920.0
20201122,726920.0
20201123,726920.0
20201124,726920.0
20201125,726920.0
20201126,726920.0
20201127,726920.0
20201128,726920.0
20201129,726920.0
20201130,726920.0
20201201,726920.0
20201202,726920.0
20201203,726920.0
20201204,726920.0
20201205,726920.0
20201206,726920.0
20201207,726920.0
20201208,726920.0
20201209,726920.0
20201210,726920.0
20201211,726920.0
20201212,726920.0
20201213,726920.0
20201214,726920.0
20201215,726920.0
20201216,726920.0
20201217,726920.0
20201218,726920.0
20201219,726920.0
20201220,726920.0
20201221,726920.0
20201222,726920.0
20201223,726920.0
20201224,726920.0
20201225,726920.0
20201226,726920.0
20201227,726920.0
20201228,726920.0
20201229,726920.0
20201230,726920.0
20201231,726920.0
20210101,726920.0
20210102,726920.0
20210103,726920.0
20210104,726920.0
20210105,726920.0
20210106,726920.0
20210107,726920.0
20210108,726920.0
20210109,726920.0
20210110,726920.0
20210111,726920.0
20210112,726920.0
20210113,726920.0
20210114,726920.0
20210115,726920.0
20210116,726920.0
20210117,726920.0
20210118,726920.0
20210119,726920.0
20210120,726920.0
20210121,726920.0
20210122,726920.0
20210123,726920.0
20210124,726920.0
20210125,726920.0
20210126,726920.0
20210127,726920.0
20210128,0.0
20210129,5286.0
20210130,37825.0
20210131,59154.0
20210201,95550.0
20210202,118767.0
20210203,139914.0
20210204,146327.0
20210205,156310.0
20210206,160148.0
20210207,161773.0
20210208,167762.0
20210209,174193.0
20210210,176725.0
20210211,178087.0
20210212,179197.0
20210213,186654.0
20210214,189349.0
20210215,192938.0
20210216,196163.0
20210217,210405.0
20210218,233472.0
20210219,263779.0
20210220,302857.0
20210221,338769.0
20210222,354352.0
20210223,366907.0
20210224,393469.0
20210225,726920.0
20210226,406633.0
20210227,441976.0
20210228,466350.0
20210301,509275.0
20210302,553821.0
20210303,599991.0
20210304,650991.0
20210305,699521.0
20210306,724278.0
20210307,729562.0
20210308,737062.0
20210309,743775.0
20210310,752098.0
20210311,759548.0
20210312,760765.0
20210313,770408.0
20210314,773011.0
20210315,784500.0
20210316,796792.0
20210317,806449.0
20210318,815585.0
20210319,824523.0
20210320,829220.0
20210321,829865.0
20210322,838355.0
20210323,726920.0
20210324,726920.0
20210325,726920.0
20210326,726920.0
20210327,884164.0
20210328,894053.0
20210329,894365.0
20210330,903467.0
20210331,913219.0
20210401,919753.0
20210402,923954.0
20210403,726920.0
20210404,924479.0
20210405,726920.0
20210406,924536.0
20210407,924687.0
20210408,726920.0
20210409,925082.0
20210410,726920.0
20210411,925242.0
20210412,726920.0
20210413,726920.0
20210414,726920.0
20210415,726920.0
20210416,726920.0
20210417,726920.0
20210418,726920.0
20210419,726920.0
20210420,726920.0
20210421,726920.0
20210422,726920.0
20210423,726920.0
20210424,726920.0
20210425,726920.0
20210426,726920.0
20210427,726920.0
20210428,726920.0
20210429,933591.0
20210430,953461.0
20210501,991299.0
20210502,1016195.0
20210503,1024978.0
20210504,1048113.0
20210505,1069828.0
20210506,1088093.0
20210507,1105342.0
